timestamps,angvel_base_hist,I_hist,h_com_hist,angmom_wb_hist
0.1240017414,[-0.24592743 -0.04950553 -1.04691533],[0.78131873 1.25170606 0.63303891],0.5366255416,[-0.34812668 -0.31081344 -0.652346  ]
0.1250007153,[-0.24804105 -0.06098963 -1.03998963],[0.78271897 1.25380183 0.63336493],0.5367856044,[-0.34989701 -0.32167406 -0.64833775]
0.1259987354,[-0.25552827 -0.06601099 -1.01980949],[0.78254285 1.25413779 0.63318698],0.5369510661,[-0.3528566  -0.28007226 -0.63644015]
0.1269996166,[-0.25791429 -0.06807587 -1.01257741],[0.78349402 1.25563179 0.63338413],0.537121797,[-0.35476976 -0.26761165 -0.63354455]
0.1280014515,[-0.26413416 -0.06868824 -1.00510137],[0.78436114 1.25704167 0.63358692],0.5372976433,[-0.35948909 -0.19915608 -0.63043718]
0.1290049553,[-0.27485949 -0.067714   -0.99465659],[0.78517133 1.25836084 0.63375996],0.5374784297,[-0.36741568 -0.14135363 -0.6262014 ]
0.1300051212,[-0.28518672 -0.06773818 -0.98873645],[0.78608398 1.25978367 0.63394254],0.5376639633,[-0.37578051 -0.10400036 -0.62459271]
0.1310031414,[-0.29004137 -0.06945893 -0.98586448],[0.78693514 1.26112643 0.63411142],0.5378540372,[-0.38019992 -0.08509694 -0.62416549]
0.1320040226,[-0.29480536 -0.07458007 -0.97352526],[0.78774657 1.26240577 0.63426145],0.5380484344,[-0.38255446 -0.06080593 -0.61615518]
0.1330034733,[-0.29633139 -0.08179903 -0.96338085],[0.78860205 1.26373286 0.63442341],0.538246932,[-0.38318194 -0.07117439 -0.61080735]
0.1340043545,[-0.30005811 -0.08599526 -0.95656541],[0.78945254 1.26504488 0.63458096],0.5384493057,[-0.38597602 -0.06604239 -0.60743328]
0.1349999905,[-0.30073019 -0.08617624 -0.94863938],[0.79022937 1.2662602  0.63472249],0.5386553334,[-0.38598333 -0.07250376 -0.60268655]
0.1359994411,[-0.30063296 -0.08343641 -0.93817833],[0.79108605 1.26755838 0.63487897],0.5388648,[-0.38511727 -0.07725558 -0.5966968 ]
0.1370015144,[-0.30235244 -0.075637   -0.92400916],[0.7918922  1.26879176 0.63503076],0.5390775012,[-0.38502333 -0.09630845 -0.58831412]
0.1380252838,[-0.3002024  -0.06680699 -0.91845314],[0.79281487 1.27016327 0.63521724],0.5392932474,[-0.38331691 -0.09867723 -0.58531331]
0.13899827,[-0.30429535 -0.0592295  -0.91226346],[0.79383525 1.27163376 0.63541432],0.5395118675,[-0.38649508 -0.09985497 -0.58214818]
0.1400229931,[-0.30989882 -0.05292584 -0.90496137],[0.79485921 1.27309221 0.63560443],0.5397332123,[-0.39083377 -0.08635212 -0.57895308]
0.1410040855,[-0.31170654 -0.04971865 -0.9028201 ],[0.79595222 1.27464051 0.63582254],0.5399571575,[-0.39293163 -0.09109221 -0.57827315]
0.1420454979,[-0.30545554 -0.052875   -0.90889705],[0.79698103 1.27611083 0.63603021],0.5401836063,[-0.38934501 -0.13509079 -0.58007969]
0.1429989338,[-0.29971308 -0.0584089  -0.89882043],[0.79803816 1.27760847 0.63623989],0.5404124915,[-0.38404391 -0.15573139 -0.57366311]
0.1440012455,[-0.28795717 -0.06955352 -0.88998509],[0.79814786 1.27797876 0.63627149],0.5406437776,[-0.37275708 -0.21601782 -0.56468035]
0.1449995041,[-0.27718874 -0.08631746 -0.88723334],[0.79917169 1.2794515  0.63650098],0.5408774619,[-0.36357092 -0.24176302 -0.55899026]
0.1460392475,[-0.27747132 -0.10073336 -0.88252792],[0.80021484 1.28094399 0.63674436],0.5411135751,[-0.3632498  -0.23921864 -0.55407359]
0.146999836,[-0.27766477 -0.11741399 -0.89444568],[0.80159695 1.2828014  0.63700657],0.5413521817,[-0.36647602 -0.25701937 -0.56200064]
0.1479995251,[-0.29334385 -0.13375367 -0.89179047],[0.80276011 1.28442705 0.63726768],0.5415933797,[-0.38028153 -0.24455377 -0.56387468]
0.149004221,[-0.30786852 -0.14492263 -0.88634691],[0.80390794 1.28602121 0.63750473],0.5418372998,[-0.39272476 -0.22478519 -0.56409296]
0.1500022411,[-0.31679801 -0.15182762 -0.88165808],[0.80426783 1.28667183 0.63757704],0.542084104,[-0.40014577 -0.1460038  -0.56422439]
0.1510052681,[-0.32373817 -0.15517657 -0.87871127],[0.80678294 1.28982105 0.63802055],0.542333984,[-0.40707817 -0.13830151 -0.56341461]
0.1520092487,[-0.32775264 -0.15336703 -0.88070228],[0.80804862 1.29151031 0.63825681],0.5425871589,[-0.4117624  -0.07866507 -0.56578165]
0.1530025005,[-0.32170119 -0.14749004 -0.8951937 ],[0.80867176 1.29242387 0.63834875],0.5428438726,[-0.40924392 -0.0707122  -0.57262934]
0.1540038586,[-0.32730176 -0.13418764 -0.88443496],[0.81009438 1.29428957 0.63861334],0.543104391,[-0.41306145 -0.04421621 -0.56657335]
0.154999733,[-0.32446346 -0.11668857 -0.87372374],[0.81152016 1.29612637 0.638858  ],0.5433689982,[-0.40986817  0.01508173 -0.5597958 ]
0.1560003757,[-0.31393379 -0.08980837 -0.86444456],[0.81298912 1.29800391 0.63911538],0.5436379936,[-0.40112084  0.03180057 -0.55483504]
0.1570034027,[-0.30430223 -0.06293081 -0.85271807],[0.81445785 1.29987658 0.63938275],0.5439116876,[-0.39198391  0.02469097 -0.5459822 ]
0.1580078602,[-0.29569746 -0.03087994 -0.84191671],[0.81577854 1.30156721 0.63962824],0.5441903982,[-0.38367284  0.02796628 -0.53764447]
0.1589994431,[-0.29025007 -0.00558    -0.8411009 ],[0.8172325  1.30339154 0.6398869 ],0.5444744464,[-0.37975755  0.02645524 -0.53586495]
0.1599993706,[-0.28683492  0.01613426 -0.84450537],[0.81867108 1.30517345 0.63993365],0.5447641529,[-0.37853795  0.00802699 -0.53805555]
0.161005497,[-0.2819287   0.0366742  -0.84578472],[0.8200578  1.30691989 0.64020376],0.5450598336,[-0.37576084 -0.02497862 -0.53870904]
0.1619992256,[-0.27541141  0.05390057 -0.84109228],[0.82149113 1.3087065  0.6404781 ],0.5453617959,[-0.3706199  -0.06345728 -0.53547436]
0.16299963,[-0.26939643  0.06668226 -0.82648696],[0.82286143 1.31043069 0.64076192],0.5456703349,[-0.36416259 -0.11793773 -0.52611257]
0.1640000343,[-0.26174185  0.07368033 -0.81670631],[0.82414395 1.31204357 0.6410324 ],0.5459857303,[-0.35696827 -0.16471104 -0.51918392]
0.1649990082,[-0.26042411  0.07775269 -0.80690761],[0.82567584 1.31393695 0.6413397 ],0.5463082425,[-0.35594959 -0.16654176 -0.51574948]
0.1659982204,[-0.2650768   0.07716498 -0.79538065],[0.82727298 1.31590103 0.64165713],0.5466381105,[-0.35966453 -0.14725825 -0.51197013]
0.1670012474,[-0.26717577  0.06948594 -0.79065314],[0.82902348 1.31803105 0.64199139],0.5469755484,[-0.36212668 -0.09888796 -0.51099246]
0.1680073738,[-0.26159469  0.05544287 -0.78902103],[0.8307892  1.32015541 0.64230735],0.547320744,[-0.35847759 -0.04216092 -0.51056871]
0.1690030098,[-0.26052229  0.044716   -0.78423127],[0.832795   1.32255613 0.64266376],0.5476738568,[-0.35792905  0.03786294 -0.50793624]
0.1700339317,[-0.26661992  0.03005288 -0.76191105],[0.83366385 1.32359088 0.64278063],0.5480350163,[-0.35965057  0.10346382 -0.49510426]
0.1709980965,[-0.27593783  0.01483328 -0.74479593],[0.83591211 1.32622153 0.64312715],0.5484043218,[-0.36653085  0.20730216 -0.48863592]
0.1720025539,[-0.28030566 -0.00237442 -0.73433479],[0.83791227 1.32858088 0.64344684],0.5487818415,[-0.36984581  0.21720216 -0.48376751]
0.1730427742,[-0.28351935 -0.01321124 -0.72312098],[0.84023618 1.33126553 0.64377249],0.5491676129,[-0.37196613  0.21915227 -0.47764194]
0.1740391254,[-0.29230175 -0.01569554 -0.70476517],[0.84218543 1.33354482 0.64406556],0.5495616431,[-0.37790683  0.23893358 -0.46955705]
0.1749985218,[-0.28960649 -0.00646087 -0.69228525],[0.8431725  1.33466748 0.64416115],0.5499639098,[-0.37416532  0.26098572 -0.46258013]
